X1,Provider.Type,Doctor Identifier,Number.of.Services,Number.of.Beneficiaries,Total.Submitted.Charge.Amount,Total.Allowed.Amount,Total.Payment.Amount,Total.Standardized.Payment.Amount,Number.of.Drug.Services,Total.Drug.Submitted.Charge.Amount,Total.Drug.Allowed.Amount,Total.Drug.Payment.Amount,Total.Drug.Standardized.Payment.Amount,Number.of.Medical.Services,Percent.Atrial.Fibrillation,Percent.Alzheimer.s.Disease.or.Dementia,Percent.Asthma,Percent.Cancer,Percent.Heart.Failure,Percent.Chronic.Kidney.Disease,Percent.Chronic.Obstructive.Pulmonary.Disease,Percent.Depression,Percent.Diabetes,Percent.Hyperlipidemia,Percent.Hypertension,Percent.Ischemic.Heart.Disease,Percent.Osteoporosis,Percent.Rheumatoid.Arthritis.or.Osteoarthritis,Percent.Schizophrenia.or.Other.Psychotic.Disorders,Percent.Stroke,Average.HCC.Risk.Score.of.Beneficiaries,Freq,Specialty.Category,Risk.x,Risk.y
10110,Mass Immunization Roster Biller,370890237,937,228,157977,66440.23,54169.19,51873.85,104,19961,10322.9,10053.37,10053.37,833,9,3.36,7,3.98,9,11,5,17,18,37,45,15,5,31,1.5,1.57,0.92,411,Testing,0.482343966629601,0.508959784177335
10111,Mass Immunization Roster Biller,790325595,249,24,11205,7366.62,5703.36,5472.17,0,0,0,0,0,249,0.23,0,0.22,0,0.33,0.43,0.25,0.45,0.43,0.79,58,0.5,0.14,54,0,0,0.92,411,Testing,0.438209912319927,0.433510867599479
10112,Mass Immunization Roster Biller,981114496,20,20,5404,1174.4,896.23,1079.43,0,0,0,0,0,20,0.1,0.1,0.11,0.08,0.16,0.2,0.12,0.22,0.19,70,75,0.22,0.06,60,0.06,0.05,1.14,411,Testing,0.425677621971209,0.450252913750544
10113,Mass Immunization Roster Biller,231900647,216,90,64294,19527.65,14266.04,13365.41,14,1009,787.13,771.39,771.39,202,0.83,0.67,0.81,0.73,1.11,1.56,0.9,20,20,31,49,31,0.55,33,0.32,0.34,0.94,411,Testing,0.395637137693042,0.429945592021408
10114,Mass Immunization Roster Biller,124099974,20,11,11286,2231.75,1732.12,1729.68,0,0,0,0,0,20,0,0,0.05,0,0.08,0.1,0.06,0.11,0.1,0.18,0.21,0,0.03,0.13,0,0.02,3.7,411,Testing,0.483898403036979,0.477163628910203
10115,Mass Immunization Roster Biller,787114930,854,510,191264,103334.82,74939.09,75082.85,0,0,0,0,0,854,15,29,19,10,17,30,20,42,23,47,65,30,11,38,13,20,1.44,411,Testing,0.419918142050957,0.461771876017294
10116,Mass Immunization Roster Biller,382375815,216,86,24202,12410.35,9758.36,9485.64,0,0,0,0,0,216,31,49,14,0.45,47,31,17,55,22,49,75,42,47,65,0.27,0.25,1.77,411,Testing,0.464344124876598,0.488986309561147
10117,Mass Immunization Roster Biller,821505833,566,130,94025,54296.86,40867.45,47670.78,0,0,0,0,0,566,2.39,3.08,32,1.51,3.88,14,15,75,25,36,42,15,8,33,22,1.19,1.48,411,Testing,0.463374888265109,0.470552211138351
10118,Mass Immunization Roster Biller,552225348,22899,1246,1370940.94,284490.53,214266.11,196783.23,21238,85509.6,6921.16,5169.22,5169.22,1661,9,7,14,16,15,25,14,21,28,58,65,35,11,47,2,6,1.14,411,Testing,0.569393288880023,0.591204642691552
10119,Mass Immunization Roster Biller,202858325,406,89,87102,30777.11,23438.48,26324.13,0,0,0,0,0,406,36,48,24,24,43,58,28,52,43,52,75,61,17,35,20,13,2.79,411,Testing,0.468769574689166,0.53460498767799
10120,Mass Immunization Roster Biller,650948768,959,716,277406,82972.1,63410.45,63892.46,0,0,0,0,0,959,19,21,23,12,35,48,21,47,34,61,75,49,11,41,13,15,2.16,411,Testing,0.435823170235794,0.459604437887438
10121,Mass Immunization Roster Biller,225288402,677,126,78160,45324.09,33311.55,39184.41,0,0,0,0,0,677,2.12,2.7,22,1.35,3.42,4.19,13,72,3.85,14,17,4.47,0,19,1.65,1.05,1.25,411,Testing,0.453269419144919,0.488563698348192
10122,Mass Immunization Roster Biller,854188081,731,233,116293,63231.37,50601.1,49934.79,113,17438,10894.92,10519.87,10519.87,618,8,7,14,9,9,13,7,33,20,31,40,15,8,32,1.79,5,1.11,411,Testing,0.490018074972606,0.502941453318053
10123,Mass Immunization Roster Biller,239966111,233,228,147557.2,28648.6,22551.55,23076.89,0,0,0,0,0,233,29,13,22,15,33,39,28,37,41,75,75,46,11,44,6,11,1.64,411,Testing,0.415290272812055,0.456431077739551
10124,Mass Immunization Roster Biller,383223234,26,17,49120.2,4058.94,3182.2,3271.06,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,1.88,411,Testing,0.442671857044244,0.441676345267051
10125,Mass Immunization Roster Biller,978930600,343,68,773855,85585.02,66322.98,64869.68,0,0,0,0,0,343,0,0,18,0,0,16,0,24,21,62,74,35,0,75,0,0,1.13,411,Testing,0.419922567645481,0.444367630150806
10126,Mass Immunization Roster Biller,284422239,3741,656,575667,109812.57,81893.24,89395.29,2086,46630,15874.04,12249.75,12249.75,1655,12,9,18,8,13,28,13,29,28,56,71,25,9,71,4,5,1.19,411,Testing,0.536276420955975,0.534234395849742
10127,Mass Immunization Roster Biller,788674585,456,180,121609.13,57535.31,44943.83,42550.78,0,0,0,0,0,456,57,52,27,14,75,59,42,51,43,69,75,66,11,48,13,19,2.57,411,Testing,0.498673131775027,0.523582582238716
10128,Mass Immunization Roster Biller,785211208,720,53,26777.49,26773.95,20371.18,19892.57,0,0,0,0,0,720,0.86,0.91,0.84,0.66,1.29,1.65,0.98,26,1.61,42,36,1.87,0.5,70,0,0.4,0.92,411,Testing,0.42351948297431,0.449126275228369
10129,Mass Immunization Roster Biller,278558879,2358,225,106110,93924.01,66069.26,65339.08,0,0,0,0,0,2358,11,3.83,7,11,8,14,8,16,19,60,56,22,8,41,2.11,1.68,0.88,411,Testing,0.404873412883658,0.439185770100711
10130,Mass Immunization Roster Biller,949506087,520,234,127424,36127.09,27786.47,26829.68,0,0,0,0,0,520,18,13,15,17,37,43,15,33,28,51,72,41,15,39,5,6,2.36,411,Testing,0.417413187288284,0.436964228335893
10131,Mass Immunization Roster Biller,166830205,1396,793,552205,190413.65,135816.3,124559.11,0,0,0,0,0,1396,9,7,12,9,13,25,11,26,42,52,70,26,9,31,4,3,1.33,411,Testing,0.427353258957099,0.467408196675925
10132,Mass Immunization Roster Biller,896214033,929,585,925961,243393.71,186304.78,170429.05,0,0,0,0,0,929,14,6,11,8,12,23,7,37,29,63,66,28,4,46,4,6,1.07,411,Testing,0.439491712755249,0.489224820205258
10133,Mass Immunization Roster Biller,510038329,113,19,5855,3472.28,2630.06,2527.64,0,0,0,0,0,113,0.14,0,0.14,0.11,0.21,0.27,0.16,0.28,0.27,74,75,0.31,0,0.35,0,0.06,1.81,411,Testing,0.429284422072974,0.432363925203705
10134,Mass Immunization Roster Biller,377071492,424,168,18024.88,16855.72,16518.2,17873.02,212,13998.88,12829.72,12573.02,12573.02,212,4.26,7,11,7,13,23,8,25,35,43,58,23,7,30,1.32,1.39,1.1,411,Testing,0.476249419053606,0.491475923065668
10135,Mass Immunization Roster Biller,760129095,421,77,77967,41315.98,30801.66,30239.65,0,0,0,0,0,421,0,1.31,22,0.97,1.89,2.42,16,73,18,29,45,2.74,0.73,14,75,0.58,1.38,411,Testing,0.475591639924813,0.453052775085168
10136,Mass Immunization Roster Biller,656196931,577,243,155070,73120.44,57324.99,57880.66,0,0,0,0,0,577,39,26,24,21,50,67,39,46,44,66,75,59,12,45,16,10,3.11,411,Testing,0.466276077353056,0.514567434605165
10137,Mass Immunization Roster Biller,152817424,700,330,692385.5,160385.04,126658.53,121623.36,0,0,0,0,0,700,11,5,9,33,9,19,8,18,21,57,67,28,10,35,1.08,4,1.25,411,Testing,0.42100181562216,0.463666478974106
10138,Mass Immunization Roster Biller,921714109,494,129,206562,60332.72,46198.96,44500.25,0,0,0,0,0,494,27,18,22,11,63,75,24,47,67,67,75,71,11,40,14,15,6.36,411,Testing,0.494929789536316,0.501691525999196
10139,Mass Immunization Roster Biller,644414851,94,62,15975,10382.81,5186.27,5630.63,0,0,0,0,0,94,0.74,0.77,0.76,0.56,1.12,1.43,0.86,35,1.38,52,40,19,0.44,35,0,0.34,1.03,411,Testing,0.39755992360727,0.432807662213461
10140,Mass Immunization Roster Biller,950191739,126,39,32786,11073.95,8681.87,8386.94,0,0,0,0,0,126,0.29,36,36,28,54,64,33,49,41,74,75,67,0.17,49,0.14,0.13,3.06,411,Testing,0.502356943158989,0.533808707075947
10141,Mass Immunization Roster Biller,266755677,216,137,59685,14975.55,11690.38,13261.99,0,0,0,0,0,216,41,30,30,23,45,50,33,52,33,61,75,43,20,53,14,29,2.31,411,Testing,0.474042766793083,0.536706941031945
10142,Mass Immunization Roster Biller,272172297,39,31,5042,3724.21,2990.87,3431.9,0,0,0,0,0,39,0.24,0.26,39,0,0.37,0.46,0.29,55,42,55,58,0.51,0.14,0.55,0.15,0,2.13,411,Testing,0.436390310262725,0.466925532100147
10143,Mass Immunization Roster Biller,761611311,802,97,50930,26576.88,20228.9,19272.82,0,0,0,0,0,802,0.83,0.79,0.81,0.68,1.21,27,0.92,19,21,51,63,25,0.5,53,0.41,0.37,0.96,411,Testing,0.387353175698716,0.418935456180647
10144,Mass Immunization Roster Biller,221949135,27,26,5130,3492.68,2738.36,2636.07,0,0,0,0,0,27,0.18,0.16,0.17,0.14,0.25,46,0.2,0.34,42,50,73,54,0.11,46,0.08,0.08,1.78,411,Testing,0.416290328003205,0.438898300267697
10145,Mass Immunization Roster Biller,470424613,4486,272,342138,187358.93,143286.5,130802.07,0,0,0,0,0,4486,22,28,20,15,46,38,28,31,33,60,75,54,15,43,12,11,1.93,411,Testing,0.471851379931109,0.492330214408904
10146,Mass Immunization Roster Biller,480502971,54,50,10715,3661.31,2813.49,3196.38,0,0,0,0,0,54,0.26,0.27,0.27,0.19,0.4,0.5,0.31,36,36,34,52,28,0.15,34,0.15,0.12,1.31,411,Testing,0.393317035076145,0.420595356896413
10147,Mass Immunization Roster Biller,359640918,302,48,46525,26000.05,19175.68,22056.56,0,0,0,0,0,302,1.1,1.41,1.18,0.71,1.78,2.19,1.4,75,23,33,50,2.33,0.61,46,0.86,0,1.43,411,Testing,0.415254214806721,0.439663105829821
10148,Mass Immunization Roster Biller,907384605,13301,943,608403.71,324786.01,239925.36,234011.95,0,0,0,0,0,13301,12,10,19,8,13,22,18,25,27,55,65,27,8,44,3,5,1.17,411,Testing,0.505448385158061,0.535600790458241
10149,Mass Immunization Roster Biller,768025423,162,81,4256.19,4238.49,4153.71,4693.86,81,2766.79,2749.09,2693.85,2693.85,81,1.12,0.85,1.08,0.99,1.32,20,1.19,14,22,46,65,23,0.83,32,0,0.39,1,411,Testing,0.415103393309966,0.446796927994095
10150,Mass Immunization Roster Biller,939502168,617,123,71727.69,46781.87,34811.22,34905.1,60,6173.1,5620.09,5507.52,5507.52,557,16,11,17,13,21,26,15,28,33,52,68,38,2.18,30,1.35,1.21,1.57,411,Testing,0.458305006108427,0.467729336120171
10151,Mass Immunization Roster Biller,233525216,101,48,2955,845.16,744.09,743.71,0,0,0,0,0,101,0.17,0.13,0.17,0.14,0.24,25,0.19,33,75,56,75,23,0.11,38,0.06,0.07,1.62,411,Testing,0.397068511218666,0.438174893223578
10152,Mass Immunization Roster Biller,138591046,229,89,72251.93,22819.95,17528.54,16910.04,0,0,0,0,0,229,13,44,18,13,18,33,21,71,30,43,62,25,13,33,28,25,1.65,411,Testing,0.463884251852038,0.478643712664675
10153,Mass Immunization Roster Biller,116989927,108,53,2556.47,2556.47,2505.33,3116.37,54,1874.09,1874.09,1836.5,1836.5,54,0.77,0.61,0.75,0.68,0.92,1.43,0.83,1.55,21,40,55,1.73,0.57,23,0.28,0.27,0.64,411,Testing,0.427796743596905,0.459429622032245
10154,Mass Immunization Roster Biller,718011395,315,127,1077662.5,243617.92,189452.34,192836.09,0,0,0,0,0,315,13,13,14,29,14,27,13,35,28,53,67,29,10,34,12,24,1.63,411,Testing,0.455968188578679,0.506139497757724
10155,Mass Immunization Roster Biller,943324413,8307,1219,4277464.44,2517407.75,1950634.96,1927493.43,2261,2772600.44,1868052.74,1463598.68,1463598.68,6046,16,10,11,11,19,30,13,22,37,58,71,34,9,35,4,5,1.37,411,Testing,0.655844918247098,0.629859067290594
10156,Mass Immunization Roster Biller,164453488,2022,853,349491.49,252586.48,196008.12,182299.44,0,0,0,0,0,2022,45,21,20,19,52,42,25,26,45,75,75,73,10,47,4,13,1.82,411,Testing,0.533197461086187,0.532942122879527
10157,Mass Immunization Roster Biller,669720938,367,202,89036,25366.38,18901.53,18207.38,0,0,0,0,0,367,8,7,12,14,19,25,11,33,33,43,71,29,13,35,0.46,0.46,1.48,411,Testing,0.381420215301934,0.410266817250406
10158,Mass Immunization Roster Biller,139081421,822,547,313269,90033.48,68383.27,67850.85,0,0,0,0,0,822,18,23,24,11,33,38,24,51,35,54,75,53,12,41,23,7,1.99,411,Testing,0.428453037416412,0.464672437509707
10159,Mass Immunization Roster Biller,185207064,1270,244,267304,102874.08,80147.17,79185.37,219,44039,18889.71,18189.95,18189.95,1051,10,7,8,10,17,17,12,16,23,48,56,35,7,36,2.71,2.64,1.06,411,Testing,0.526328814291913,0.501661967556447
10160,Mass Immunization Roster Biller,278733006,1322,836,109900,24932.59,18596.28,18346.72,0,0,0,0,0,1322,15,16,21,12,25,28,27,35,28,47,69,38,9,41,10,7,1.44,411,Testing,0.420307234904488,0.454630488385095
10161,Mass Immunization Roster Biller,663666641,743,606,603913.7,104417.8,82090.56,83506.32,0,0,0,0,0,743,15,11,22,12,26,37,22,36,38,64,74,40,8,40,5,6,1.93,411,Testing,0.406352018417894,0.4330340029566
10162,Mass Immunization Roster Biller,317806172,1039,412,278436,113132.66,87673.13,85245.19,0,0,0,0,0,1039,31,30,28,19,51,67,36,44,38,69,75,55,23,48,16,16,2.45,411,Testing,0.480145314325806,0.522286944707802
10163,Mass Immunization Roster Biller,596634264,13,12,3199,988.4,774.87,886.56,0,0,0,0,0,13,0.07,0,0.07,0.05,0.1,0.13,0.08,0.15,0.13,0.23,0.27,0.15,0,0.16,0.04,0,1.51,411,Testing,0.45336148572283,0.479971230432791
10164,Mass Immunization Roster Biller,300651730,1092,361,288616,103155.8,78584.24,82534.55,0,0,0,0,0,1092,24,30,27,21,46,58,32,44,35,62,75,55,16,50,15,13,2.43,411,Testing,0.459790941035213,0.512915125493513
10165,Mass Immunization Roster Biller,406138905,84,54,28430,14058.2,11021.55,9844.75,0,0,0,0,0,84,0.36,46,26,0.33,56,54,24,37,56,72,75,75,20,43,0.13,0.16,2.54,411,Testing,0.493037249185126,0.519590639107461
10166,Mass Immunization Roster Biller,471420387,559,43,28735,17985.56,13627.06,13254.68,0,0,0,0,0,559,0.54,0.56,0.54,0.43,0.81,1.05,0.62,28,1.02,49,47,1.2,0.32,42,0,0.25,0.86,411,Testing,0.395664314858794,0.427789904431863
10167,Mass Immunization Roster Biller,538708283,206,88,35125,18645.79,14617.94,14062.09,0,0,0,0,0,206,25,18,34,0.54,44,60,36,48,51,75,75,64,15,49,0.33,14,2.41,411,Testing,0.483929248026692,0.515383582537067
10168,Mass Immunization Roster Biller,658527861,214,134,32841,9208.49,7247.67,8431.3,0,0,0,0,0,214,0.65,0.67,20,0.48,0.99,8,10,32,22,51,43,8,0.38,32,0.39,0.3,1.05,411,Testing,0.390582433790984,0.43359883727275
10169,Mass Immunization Roster Biller,738658435,1319,337,436740,121276.44,88910.88,88164.65,0,0,0,0,0,1319,9,11,12,9,12,17,8,32,23,48,61,22,13,50,4,3,1.16,411,Testing,0.403944550295816,0.442649610350081
10170,Mass Immunization Roster Biller,797402258,671,372,189728,62134.05,47544.58,47291.64,0,0,0,0,0,671,21,17,40,20,52,54,48,38,41,61,75,55,15,40,9,6,2.61,411,Testing,0.462210669274936,0.489643880410642
10171,Mass Immunization Roster Biller,853120902,822,270,113389.72,58933.04,44142.39,52638.59,0,0,0,0,0,822,32,39,22,14,57,55,34,49,56,60,75,54,13,47,13,16,3.1,411,Testing,0.473495918912003,0.525743844855084
10172,Mass Immunization Roster Biller,133924080,784,361,27833.08,25839.81,25322.03,27779.71,392,20340.28,18347.01,17979.71,17979.71,392,10,4,5,14,8,16,7,14,14,48,56,21,11,37,2.17,2.25,0.95,411,Testing,0.514563700137159,0.524004451445161
10173,Mass Immunization Roster Biller,379973412,388,100,131219,38741.12,29829.5,28793.37,0,0,0,0,0,388,12,25,31,0.7,29,33,25,75,22,40,65,38,0.51,34,67,0.39,2.18,411,Testing,0.486722705140524,0.487797545052081
10174,Mass Immunization Roster Biller,774298035,253,52,60342,17174.24,12940.92,12971.91,0,0,0,0,0,253,0.46,0.47,0.46,0,0.69,0.88,0.53,71,35,40,46,1,0.27,1.1,56,0.21,1.56,411,Testing,0.459801466573236,0.450342005850843
10175,Mass Immunization Roster Biller,797798929,943,345,257907,72821.77,50705.64,49193.99,0,0,0,0,0,943,13,9,14,10,18,22,19,30,31,40,69,32,9,35,4,4,1.45,411,Testing,0.383360398113977,0.412657954764128
10176,Mass Immunization Roster Biller,885899284,336,112,21192,20059.1,14727.14,18461.13,0,0,0,0,0,336,1.25,1.57,13,11,12,21,16,36,34,28,60,18,0.69,21,0.96,0.61,1.39,411,Testing,0.381981110129101,0.430991767041418
10177,Mass Immunization Roster Biller,365635283,274,18,30220,21807.12,16467.36,16364.59,0,0,0,0,0,274,0,0.72,0.64,0.48,0.98,1.25,0.76,75,1.2,61,2.49,1.4,0.37,1.51,0,0,0.67,411,Testing,0.446473769062168,0.46684347239171903
10178,Mass Immunization Roster Biller,986761997,2039,1378,157456,72878.09,56468.83,56420.65,0,0,0,0,0,2039,27,19,28,12,41,47,26,42,39,65,75,53,9,42,9,12,1.96,411,Testing,0.452496054281372,0.480393517085075
10179,Mass Immunization Roster Biller,611942997,358,320,82773,21971.2,14372.56,16762.38,0,0,0,0,0,358,16,11,17,12,21,27,13,23,27,53,71,33,11,43,5,7,1.49,411,Testing,0.386887310890593,0.431794823351667
10180,Mass Immunization Roster Biller,557227203,363,329,161792.38,54691.49,42386.5,41958.99,0,0,0,0,0,363,23,23,22,12,32,41,24,45,31,62,75,44,10,43,16,13,1.83,411,Testing,0.403917551511937,0.453482995696313
10181,Mass Immunization Roster Biller,304786239,335,110,35271,11227.74,7274.08,8036.47,0,0,0,0,0,335,18,12,20,19,21,45,27,19,26,71,75,36,18,42,0.41,0.34,1.52,411,Testing,0.421951286494969,0.469962273099886
10182,Mass Immunization Roster Biller,406527194,53,11,4728,1876.13,960.72,1514.92,0,0,0,0,0,53,0,0,0,0,0,0.32,0,0.4,0.29,0.49,0.58,0.34,0,0.36,0,0,0.93,411,Testing,0.449127650502031,0.481459144708377
10183,Mass Immunization Roster Biller,555096553,1017,106,36295.18,35688.13,26784.44,26328.2,0,0,0,0,0,1017,14,1.35,11,13,13,20,12,25,13,70,75,33,0.76,45,0.74,0.6,0.99,411,Testing,0.390752872511519,0.420493570860961
10184,Mass Immunization Roster Biller,463310404,81,65,20930,6220.04,4827.4,5200.68,0,0,0,0,0,81,18,0.36,31,0.28,22,29,25,42,46,68,75,32,0.22,49,0.2,0.17,1.16,411,Testing,0.433775400278697,0.456382122904577
10185,Mass Immunization Roster Biller,557855357,1266,603,204496,119584.08,92159.59,92209.28,55,1520,1267.29,1241.79,1241.79,1211,13,11,21,9,25,32,26,37,33,46,66,34,9,42,8,8,1.63,411,Testing,0.416733652195637,0.439836377039598
10186,Mass Immunization Roster Biller,204914205,97,50,48977,5458.71,4195.23,4319.02,0,0,0,0,0,97,0.1,0.07,0.11,0.09,0.15,0.2,0.12,34,0.19,42,68,28,0.07,70,0.04,0.05,1.25,411,Testing,0.417162325928958,0.426019989335912
10187,Mass Immunization Roster Biller,698099841,939,64,41415,29723.64,23089.22,22642.83,0,0,0,0,0,939,0.85,0.91,0.84,0.65,1.28,28,0.98,20,30,55,61,33,23,58,0.5,0.39,1.21,411,Testing,0.416478593333051,0.438498931756085
10188,Mass Immunization Roster Biller,201173348,309,146,9273.47,9211.52,9027.28,9960.7,154,6673.94,6611.99,6479.36,6479.36,155,9,1.84,9,18,10,16,10,16,24,57,68,31,1.86,37,0.81,0.84,1.05,411,Testing,0.444956885378638,0.482815523573227
10189,Mass Immunization Roster Biller,163511178,471,22,25310,13961.18,10939.18,10969.46,0,0,0,0,0,471,0.35,0.4,0.35,0.26,0,0.68,0,0.78,0.66,1.16,1.36,0.76,0.2,0.83,0.23,0.17,0.82,411,Testing,0.44967473142842,0.46284111438338
10190,Mass Immunization Roster Biller,198101820,30,25,17514,4365.13,2928.61,3591.15,0,0,0,0,0,30,0.24,0,0.26,52,0.38,0.48,0.3,48,0.44,64,75,48,0.14,0.55,0.17,0.12,1.77,411,Testing,0.461001388802727,0.487679396804886
10191,Mass Immunization Roster Biller,309599577,123,40,33946,12368.05,9533.56,9395.58,0,0,0,0,0,123,0.37,0.37,0.37,48,0.55,48,0.43,53,28,70,73,40,0.22,48,0.2,0.17,2.64,411,Testing,0.445450391769209,0.466742648604215
10192,Mass Immunization Roster Biller,207043027,114,56,72155,21110.37,16550.55,15590.56,0,0,0,0,0,114,0.44,20,0.42,0.38,20,0.83,0.48,45,23,57,55,27,0.27,41,0.19,0.2,1.44,411,Testing,0.392639768188979,0.440876888907594
10193,Mass Immunization Roster Biller,629142853,428,424,205931.2,39272.27,30914.33,31145.32,0,0,0,0,0,428,10,8,19,13,14,21,21,34,34,66,74,30,6,35,5,4,1.32,411,Testing,0.377462675621785,0.418613802689464
10194,Mass Immunization Roster Biller,150745923,2437,86,112850,64935.88,50246.86,48813.27,0,0,0,0,0,2437,1.48,1.6,1.44,1.14,2.22,13,13,22,16,53,48,24,0.87,64,0.87,0.68,0.95,411,Testing,0.418284172859153,0.437641139789516
10195,Mass Immunization Roster Biller,551902662,99,32,7094.82,7055.33,4628.92,5041.88,0,0,0,0,0,99,0,0,0,0.3,0,0.79,0.49,56,0.75,34,50,0.88,0.24,0.96,0.26,0,0.9,411,Testing,0.423680375935734,0.438383567327264
10196,Mass Immunization Roster Biller,208274973,155,14,16918,11987.19,9268.34,9226.29,0,0,0,0,0,155,0,0.39,0.35,0,0.54,0.68,0.41,75,0.65,1.16,1.36,0.76,0.2,0.82,0.22,0,1.63,411,Testing,0.466720444581377,0.470417452631542
10197,Mass Immunization Roster Biller,664678591,684,169,404480,126897.92,97718.5,94138.97,0,0,0,0,0,684,20,14,21,11,30,43,20,38,37,62,72,43,9,45,9,8,2.21,411,Testing,0.409476956557683,0.43058413868281
10198,Mass Immunization Roster Biller,556899730,528,162,91494,31757.7,25699.18,29499.13,40,3005,767.64,752.28,752.28,488,7,1.81,16,7,2.42,17,13,31,25,75,70,23,0.94,37,1.06,0.74,0.99,411,Testing,0.394305125949814,0.446150887329078
10199,Mass Immunization Roster Biller,828858876,1998,134,757747,246449.34,192084.66,183777.9,0,0,0,0,0,1998,16,8,16,64,16,24,22,31,22,52,72,39,10,31,2.12,1.84,1.64,411,Testing,0.478036167787849,0.503993494601288
10200,Mass Immunization Roster Biller,144286966,30,13,2095,1038.97,861.21,874.46,0,0,0,0,0,30,0,0,0.07,0,0.1,0.12,0,0.13,0.12,0.22,0.26,0.14,0,0.16,0.03,0,0.74,411,Testing,0.452065283395845,0.472261899964276
10201,Mass Immunization Roster Biller,245519597,31,18,6313,3026.85,2343.34,2180.05,0,0,0,0,0,31,0.12,0.1,0.12,0.11,0.18,0.23,0.14,75,61,0.44,72,67,0,0.31,0.05,0.05,3.12,411,Testing,0.493789083131131,0.46357728447892
10202,Mass Immunization Roster Biller,876047928,215,171,65066,15683.98,12296.11,13532.04,0,0,0,0,0,215,45,8,20,22,66,51,19,22,44,75,75,75,14,35,0.5,11,1.9,411,Testing,0.466476724390643,0.499269038021909
10203,Mass Immunization Roster Biller,742121668,64,39,17333,7641.41,5731.04,5602.6,0,0,0,0,0,64,0.31,0.3,0.31,0.25,0.46,0.6,0.36,59,0.59,31,44,0.69,0.19,41,0.16,0,1.14,411,Testing,0.414158309517477,0.428051893067246
10204,Mass Immunization Roster Biller,511280334,99,11,14850,9586.33,7213.35,7159.33,0,0,0,0,0,99,0,0,0,0,0.44,0,0,0.63,0,0.96,1.13,0,0.17,0.69,0,0,0.54,411,Testing,0.454722939617476,0.468562396801547
10205,Mass Immunization Roster Biller,497813639,213,11,21450,13583.64,9983.65,10082.38,0,0,0,0,0,213,0,0.47,0.42,0,0,0.8,0.49,0.92,0.76,1.34,1.58,0.89,0,0.96,0.27,0,0.89,411,Testing,0.444860286288439,0.466618670702406
10206,Mass Immunization Roster Biller,860644597,15,14,3200,2015.84,1491.58,1436.22,0,0,0,0,0,15,0,0.09,0.1,0,0.15,0,0.12,0.2,0.19,0.36,0.42,0.23,0.06,0.25,0.05,0,0.95,411,Testing,0.446783081604771,0.466356231797631
10207,Mass Immunization Roster Biller,651731923,6391,1067,614111.4,279822.22,224563.06,219994.89,709,36125,30765.6,29366.72,29366.72,5682,11,7,12,8,10,18,8,26,19,51,59,17,7,30,4,5,1.1,411,Testing,0.591958081987748,0.592757487821388
10208,Mass Immunization Roster Biller,665581412,48,37,18942,7920.69,6165.87,6160.96,0,0,0,0,0,48,0.29,0.29,32,0.23,65,75,41,51,41,70,75,59,0.17,0.71,0.16,30,2.99,411,Testing,0.507193640203904,0.534928615683158
10209,Mass Immunization Roster Biller,224767113,419,160,529778,85480.2,66988.93,66444.79,0,0,0,0,0,419,24,13,13,16,38,34,24,29,39,73,75,61,9,42,10,0.3,1.63,411,Testing,0.430322551286602,0.449752296406601
10210,Mass Immunization Roster Biller,230977841,92,47,44907,11568.7,8923.76,8539.47,0,0,0,0,0,92,28,28,28,0.25,43,43,30,36,30,64,75,49,34,72,0.13,0.13,1.81,411,Testing,0.481690760704493,0.490033351699762
10211,Mass Immunization Roster Biller,824074643,1545,558,215349,109053.28,73274.51,71348.42,130,756,718.62,513.84,513.84,1415,15,8,9,14,10,15,8,16,16,42,61,23,8,38,2.62,5,1.04,411,Testing,0.429971631533299,0.447812405574486
10212,Mass Immunization Roster Biller,639746295,2236,371,444851,180492.72,137642.88,159749.13,0,0,0,0,0,2236,30,60,25,13,53,54,32,52,37,56,75,51,18,50,17,11,2.24,411,Testing,0.494705939870345,0.544979076976769
10213,Mass Immunization Roster Biller,142378310,3458,341,575830,207934.3,166605.75,157696.89,410,80780,37107.43,36330.52,36330.52,3048,11,10,11,12,15,24,15,27,25,31,59,22,14,33,6,4.6,1.25,411,Testing,0.567285874856389,0.55845685629975494
10214,Mass Immunization Roster Biller,786869923,164,67,44090,13193.29,8401.73,8294.63,0,0,0,0,0,164,0.53,0.52,16,0.42,24,28,0.61,25,46,25,52,25,0.32,22,0.28,0.24,1.63,411,Testing,0.399148801784851,0.431443794756685
10215,Mass Immunization Roster Biller,103315984,347,125,219898,63801.2,49584.21,48554.93,0,0,0,0,0,347,22,17,27,18,50,62,39,38,44,52,75,60,12,36,0.73,11,3.38,411,Testing,0.458375488826483,0.496722569584982
10216,Mass Immunization Roster Biller,250077702,81,64,5268.8,3572.27,2282.32,2669.11,0,0,0,0,0,81,0.36,0.36,0.37,0.27,0.54,0.69,0.42,42,27,28,61,19,0.22,34,0.2,0.17,1.21,411,Testing,0.389920414401041,0.430883301417896
10217,Mass Immunization Roster Biller,147187708,1512,414,267390,125452.24,89385.09,84934.59,93,10720,4881.22,4783.68,4783.68,1419,11,10,7,12,10,16,9,13,26,68,69,23,5,32,2.54,5,0.97,411,Testing,0.451773738947307,0.477618648809498
